conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1756229049930961252,Sat Feb 10 08:10:09 +0000 2024,0,Pada akhirnya semua bakal belajar pakai AI kemajuan teknologi memang susah dibendung.,1756229049930961252,,,in,"Jawa Timur, Indonesia",0,0,0,https://twitter.com/nadhifrachma/status/1756229049930961252,390711130,nadhifrachma
1755022181761966391,Wed Feb 07 00:14:29 +0000 2024,0,PENUHI PERMINTAAN INDUSTRI KAJI WUJUDKAN FAKULTI BERKAITAN AI TEKNOLOGI - MENTERI PENDIDIKAN TINGGI https://t.co/mtDQvui5p7,1755022181761966391,https://pbs.twimg.com/ext_tw_video_thumb/1755022145552543744/pu/img/jyyYkkp4L1qQvYSZ.jpg,,in,,0,0,0,https://twitter.com/927_basheer/status/1755022181761966391,1500704100,927_basheer
1756571108248350793,Sun Feb 11 06:49:22 +0000 2024,0,Di era AI (Artificial Intelligence) banyak sekali penerapan AI di kehidupan sehari-hari. Di bidang teknologi AI sudah lazim diterapkan seperti di smart speaker smart driving car dan ChatGPT.,1756571108248350793,,,in,Software Engineer,0,1,0,https://twitter.com/arsyopraza/status/1756571108248350793,1687885893905121280,arsyopraza
1753608205689819593,Sat Feb 03 02:35:51 +0000 2024,0,Dunia paralel? entah algoritma X dah pake teknologi AI dan face recognition atau emang mereka sodaraan ya berhimpun seair dengan air seminyak dengan minyak jika himpunan semestanya emang berbeda tak kan beririsan #AMINAjaDulu https://t.co/fdWGCOV4eT,1753608205689819593,https://pbs.twimg.com/media/GFYRXqqbEAARHZH.jpg,,in,,0,0,0,https://twitter.com/gen_Gh/status/1753608205689819593,1208173385890422784,gen_Gh
1756535953177632852,Sun Feb 11 04:29:40 +0000 2024,0,Speaking of AI art tuh kayanya masih banyak miskonsepsi jir AI itu teknologi baru dan itu baik padahal mah awikwok Sebenernya kalo AI si material buat learningnya gak nyomot dari internet sih gpp,1756535953177632852,,,in,,0,1,0,https://twitter.com/fzdzzn32/status/1756535953177632852,1095366299104960512,fzdzzn32
1756116158615609483,Sat Feb 10 03:01:54 +0000 2024,105,@__imugi Wah gak kekinian nih harusnya kalau dianggap melek teknologi bisa dijawab kebetulan aku pakai AI kak ,1756151478463627621,,__imugi,in,,1,1,4,https://twitter.com/rekombukubybayu/status/1756151478463627621,1617015528354353153,rekombukubybayu
1755751166150156335,Fri Feb 09 00:31:12 +0000 2024,1,Teknologi selalu berubah belajar dan mencoba hal baru menjadikan kita tetap relevan. Google Menyediakan training gratis dan mudah utk dipelajari. Salah satunya : Google Cloud Skills Boost Generative AI for Developers Learning Path langkah awal mengarungi LLM dan Prompt Eng. https://t.co/lswxDuhInl,1755751166150156335,https://pbs.twimg.com/ext_tw_video_thumb/1755750998709309440/pu/img/sDthFqOZTzfwe5g1.jpg,,in,jakarta,0,0,0,https://twitter.com/adijayainc/status/1755751166150156335,112330300,adijayainc
1756273506281771146,Sat Feb 10 16:18:44 +0000 2024,18,@starfess Anjir trnyata ai?? Jujur gue gasuka bgt sm teknologi ai. Lebih ga suka ke orang yg salah gunain sihh.. kaya sampe bisa bikin org kena fitnah anjr. Apalagi sm orang yg open commission tapi dia pake ai?? Klo sebagai referensi si oke aja lah tp ini bnr² hsil ainya yg dijual??,1756352006737015117,,starfess,in,,0,0,0,https://twitter.com/heedeungielovey/status/1756352006737015117,1737266401277247488,heedeungielovey
1756554410334068875,Sun Feb 11 05:43:01 +0000 2024,0,Sebenernya adanya teknologi AI tuh bagus cuman ya namanya manusia pasti ada yg licik jelek,1756554410334068875,,,in,00,0,0,0,https://twitter.com/hellowmarseu/status/1756554410334068875,1646469648,hellowmarseu
1754129147172168153,Sun Feb 04 13:05:53 +0000 2024,0,naon rebut teknologi dr siapa ai maneh,1754129147172168153,,,in,,0,0,0,https://twitter.com/haihymma/status/1754129147172168153,1540902393679716352,haihymma
1754735516447318364,Tue Feb 06 05:15:23 +0000 2024,0,Menang RM3.3 juta guna AI pecahkan misteri skrol 2 000 tahun #BHsastera Gulungan skrol Yunani itu berada dalam keadaan mudah hancur dan disaluti abu gunung berapi hingga terpaksa imbas dengan CT scan manakala teknologi AI digunakan untuk menyahkodkan tulisan hampir tidak boleh https://t.co/5DSbzekIkz,1754735516447318364,https://pbs.twimg.com/media/GFoSpPpagAAtOT7.jpg,,in,Malaysia,0,0,1,https://twitter.com/bharianmy/status/1754735516447318364,63070483,bharianmy
1756472472302657536,Sun Feb 11 00:17:25 +0000 2024,0, Bisa bayar designer grafis ngapain pake AI lah kenapa ga kasih tool AI ke designernya? imagine dengan otak kreatifnya ditambah teknologi AI bakal jadi apa? menyala,1756472472302657536,,,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://twitter.com/gdedharma_/status/1756472472302657536,793718012,gdedharma_
1756357894340288605,Sat Feb 10 16:49:01 +0000 2024,258,@gakusahkepo124 Kesal saja dari dulu sudah disuarakan kenapa AI dalam dunia seni ini problematik. Argumennya selalu perkembangan zaman perkembangan zaman. Padahal perkembangan teknologi juga banyak mempertimbangkan etika dan moral manusia. ,1756359628022325516,,gakusahkepo124,in,"Jakarta Selatan, DKI Jakarta",0,1,27,https://twitter.com/neohistoria_id/status/1756359628022325516,1495326248100589569,neohistoria_id
1756171077724807200,Sat Feb 10 06:10:05 +0000 2024,3,@oeijaja @binus_fess Bukan gak menerima teknologi. Tapi harus diinget lagi teknologi gak semuanya menguntungkan kayak AI ini contohnya. Masih banyak artist yg bisa ngerjain tapi malah pake AI. Itu sama aja lu ngedukung manusia punah digantiin sama robot. Masa harus jadi anak dkv dulu baru bisa relate,1756198835704205534,,oeijaja,in,,0,1,1,https://twitter.com/caarosas/status/1756198835704205534,2309289913,caarosas
1756448232966889650,Sat Feb 10 22:41:06 +0000 2024,5,Kadang topik AI art lebih baik gk dibahas brg org batu sok teknologi,1756448232966889650,,,in,struggling in college,0,0,0,https://twitter.com/Nayy_notyay/status/1756448232966889650,1277875735651250180,Nayy_notyay
1756335407523041464,Sun Feb 11 18:32:03 +0000 2024,0,@andylauuu @begelaaah @ruliemaulana Haduh AI itu teknologi bukan sih buset dah,1756747946652229706,,andylauuu,in,,0,1,0,https://twitter.com/iqbaltawakkal_/status/1756747946652229706,553398430,iqbaltawakkal_
1755853423973642319,Sat Feb 10 17:05:06 +0000 2024,51,@DrZalihaMustafa @kwp_my @DBKL2u @putrajayacorp @LabuanCorp @Kampong_Bharu @MSWP_WIPERS Just nak bagi tau kepada yg jenis tak suka dengan penggunaan Ai ni Ai tu adalah tools bila teknologi berkembang. maka tools yg wujud pon semakin advance. Sembang nanti industri seni tempatan akan jatuh sebab Ai? ada dua option samaada hang adapt atau hang kene tinggal.,1756363673306857966,,DrZalihaMustafa,in,"Kuantan, Pahang",24,6,11,https://twitter.com/twt_lutfi/status/1756363673306857966,2570746910,twt_lutfi
